Escribe un tipo de terreno,Planetas encontrados,timestamp
desert,"{""headers"": [""1"", ""2"", ""3""], ""data"": [], ""metadata"": null}",2026-01-19 21:33:21.313023
desert,"{""headers"": [""1"", ""2"", ""3""], ""data"": [], ""metadata"": null}",2026-01-19 21:48:36.973943
